Year,Area,Country area,Forest land,Land area,Naturally regenerating forest,Planted Forest,Share of forests in Land area,Share of naturally regenerating forest,Share of planted forests,Carbon stock in Living Biomass,C02 removal from forest land,Net Forest conversion,Tree covered areas MODIS
2017,South America,1780437.1,850615.51,1746172.2,832052.62,18562.88,48.71,97.82,2.18,96826.5458,-362324.9293,1085941.5365,1108487.42
2017,Suriname,16382.0,15233.02,15600.0,15218.87,14.15,97.65,99.91,0.09,3215.5382,0.0,8572.7871,13952.99
2017,Uruguay,17622.0,1968.0,17502.0,849.0,1119.0,11.24,43.14,56.86,118.08,-1905.2,0.0,6629.67
2017,Venezuela,91205.0,46428.18,88205.0,45072.75,1355.43,52.64,97.08,2.92,5529.5962,957.7691,39891.3821,68253.1
2018,Argentina,278040.0,28791.0,273669.0,27416.0,1375.0,10.52,95.22,4.78,3194.3614,-27952.2907,54702.45,61356.92
2018,Bolivia,109858.0,51253.24,108330.0,51190.64,62.6,47.31,99.88,0.12,3945.9869,-318.9952,67700.9512,71671.49
2018,Brazil,851577.0,499051.4,835814.0,488548.1,10503.3,59.71,97.9,2.1,52150.8713,-269412.8448,653402.772,593812.13
2018,Chile,75670.0,17964.87,74353.2,14844.48,3120.39,24.16,82.63,17.37,2364.7158,-58269.1025,0.0,27513.42
2018,Colombia,114175.0,59540.48,110950.0,59113.08,427.4,53.66,99.28,0.72,6720.334,-281.4225,82452.6637,100069.79
2018,Ecuador,25637.0,12626.37,24836.0,12509.01,117.36,50.84,99.07,0.93,1395.3401,0.0,26042.4182,21584.44
2018,French Guiana,8360.0,8009.71,8281.0,8008.91,0.8,96.72,99.99,0.01,1704.0658,-15.6017,2691.2875,8165.71
2018,Guyana,21497.0,18433.75,19685.0,18433.75,0.0,93.64,100.0,0.0,5322.561,0.0,9744.3975,19406.92
2018,Paraguay,40675.2,16660.93,39730.0,16528.12,132.81,41.94,99.2,0.8,747.7425,-1880.2626,47847.7947,33177.01
